"batch_id","run_id","agent_name","graph_name","sequence","cycle","cycle_timestamp","duration_ms","file","line","event_count","opportunistic_detected_count","opportunistic_prompt_visible_count","selection_count","contingency_event_count","contingency_guidance_event_count"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","100","99","2026-06-07T19:20:08.701+00:00","3145","react_ccrs_mazeV1_04_20260607_211522.log","2577","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","101","100","2026-06-07T19:20:10.647+00:00","1946","react_ccrs_mazeV1_04_20260607_211522.log","2587","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","102","101","2026-06-07T19:20:12.760+00:00","2113","react_ccrs_mazeV1_04_20260607_211522.log","2603","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","103","102","2026-06-07T19:20:14.913+00:00","2153","react_ccrs_mazeV1_04_20260607_211522.log","2619","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","104","103","2026-06-07T19:20:17.056+00:00","2143","react_ccrs_mazeV1_04_20260607_211522.log","2635","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","105","104","2026-06-07T19:20:19.300+00:00","2244","react_ccrs_mazeV1_04_20260607_211522.log","2651","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","106","105","2026-06-07T19:20:21.507+00:00","2207","react_ccrs_mazeV1_04_20260607_211522.log","2667","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","107","106","2026-06-07T19:20:23.940+00:00","2433","react_ccrs_mazeV1_04_20260607_211522.log","2683","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","108","107","2026-06-07T19:20:27.080+00:00","3140","react_ccrs_mazeV1_04_20260607_211522.log","2699","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","109","108","2026-06-07T19:20:29.153+00:00","2073","react_ccrs_mazeV1_04_20260607_211522.log","2709","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","110","109","2026-06-07T19:20:31.014+00:00","1861","react_ccrs_mazeV1_04_20260607_211522.log","2725","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","111","110","2026-06-07T19:20:33.023+00:00","2009","react_ccrs_mazeV1_04_20260607_211522.log","2741","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","112","111","2026-06-07T19:20:35.327+00:00","2304","react_ccrs_mazeV1_04_20260607_211522.log","2757","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","113","112","2026-06-07T19:20:38.756+00:00","3429","react_ccrs_mazeV1_04_20260607_211522.log","2773","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","114","113","2026-06-07T19:20:42.537+00:00","3781","react_ccrs_mazeV1_04_20260607_211522.log","2789","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","115","114","2026-06-07T19:20:44.552+00:00","2015","react_ccrs_mazeV1_04_20260607_211522.log","2805","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","116","115","2026-06-07T19:20:47.605+00:00","3053","react_ccrs_mazeV1_04_20260607_211522.log","2821","5","0","0","1","2","0"
