"batch_id","run_id","agent_name","graph_name","file","line","react_event","cycle","cycle_timestamp","strategy_id","trace_id","top_action","stop","reason","target","matched_entries","active_entries"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","902","react.ccrs.contingency.escalation.skipped","26",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","910","react.ccrs.contingency.escalation.considered","27",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","911","react.ccrs.contingency.escalation.skipped","27",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","974","react.ccrs.contingency.escalation.considered","28",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","975","react.ccrs.contingency.escalation.skipped","28",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","983","react.ccrs.contingency.escalation.considered","29",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","984","react.ccrs.contingency.escalation.skipped","29",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1047","react.ccrs.contingency.escalation.considered","30",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1048","react.ccrs.contingency.escalation.skipped","30",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1056","react.ccrs.contingency.escalation.considered","31",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1057","react.ccrs.contingency.escalation.skipped","31",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1120","react.ccrs.contingency.escalation.considered","32",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1121","react.ccrs.contingency.escalation.skipped","32",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1129","react.ccrs.contingency.escalation.considered","33",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1130","react.ccrs.contingency.escalation.skipped","33",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1193","react.ccrs.contingency.escalation.considered","34",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1194","react.ccrs.contingency.escalation.skipped","34",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1202","react.ccrs.contingency.escalation.considered","35",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1203","react.ccrs.contingency.escalation.skipped","35",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1266","react.ccrs.contingency.escalation.considered","36",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1267","react.ccrs.contingency.escalation.skipped","36",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1275","react.ccrs.contingency.escalation.considered","37",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1276","react.ccrs.contingency.escalation.skipped","37",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1339","react.ccrs.contingency.escalation.considered","38",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1340","react.ccrs.contingency.escalation.skipped","38",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1348","react.ccrs.contingency.escalation.considered","39",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1349","react.ccrs.contingency.escalation.skipped","39",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1363","react.ccrs.contingency.escalation.considered","40",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1364","react.ccrs.contingency.escalation.skipped","40",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1378","react.ccrs.contingency.escalation.considered","41",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1379","react.ccrs.contingency.escalation.activated","41",,,,,,"explicit_llm_escalation","http://127.0.1.1:8080/cells/12/5",,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1384","react.ccrs.contingency.classpath.resolved",,,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1388","react.ccrs.contingency.runtime.ready",,,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1392","react.ccrs.contingency.classpath.resolved",,,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1395","react.ccrs.contingency.evaluate",,,,,,,,"http://127.0.1.1:8080/cells/12/5",,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1396","react.ccrs.contingency.returned",,,,"ce1fe8f2-be13-4944-86cf-0a5edaf08154",,"False",,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1588","react.ccrs.contingency.escalation.considered","42",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1589","react.ccrs.contingency.escalation.skipped","42",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1597","react.ccrs.contingency.escalation.considered","43",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1598","react.ccrs.contingency.escalation.skipped","43",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1661","react.ccrs.contingency.escalation.considered","44",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1662","react.ccrs.contingency.escalation.skipped","44",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1676","react.ccrs.contingency.escalation.considered","45",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1677","react.ccrs.contingency.escalation.skipped","45",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1740","react.ccrs.contingency.escalation.considered","46",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1741","react.ccrs.contingency.escalation.skipped","46",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1804","react.ccrs.contingency.escalation.considered","47",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1805","react.ccrs.contingency.escalation.skipped","47",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1819","react.ccrs.contingency.escalation.considered","48",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1820","react.ccrs.contingency.escalation.skipped","48",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1883","react.ccrs.contingency.escalation.considered","49",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1884","react.ccrs.contingency.escalation.skipped","49",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1947","react.ccrs.contingency.escalation.considered","50",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1948","react.ccrs.contingency.escalation.skipped","50",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1962","react.ccrs.contingency.escalation.considered","51",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1963","react.ccrs.contingency.escalation.skipped","51",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1971","react.ccrs.contingency.escalation.considered","52",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","1972","react.ccrs.contingency.escalation.skipped","52",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","2038","react.ccrs.contingency.escalation.considered","53",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","2039","react.ccrs.contingency.escalation.skipped","53",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","2053","react.ccrs.contingency.escalation.considered","54",,,,,,,,,
