"batch_id","run_id","agent_name","graph_name","sequence","cycle","cycle_timestamp","duration_ms","file","line","event_count","opportunistic_detected_count","opportunistic_prompt_visible_count","selection_count","contingency_event_count","contingency_guidance_event_count"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","269","268","2026-06-07T16:03:14.490+00:00","2132","react_ccrs_mazeV1_01_20260607_174940.log","11294","8","2","2","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","270","269","2026-06-07T16:03:19.518+00:00","5028","react_ccrs_mazeV1_01_20260607_174940.log","11377","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","271","270","2026-06-07T16:03:21.685+00:00","2167","react_ccrs_mazeV1_01_20260607_174940.log","11392","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","272","271","2026-06-07T16:03:24.331+00:00","2646","react_ccrs_mazeV1_01_20260607_174940.log","11407","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","273","272","2026-06-07T16:03:26.447+00:00","2116","react_ccrs_mazeV1_01_20260607_174940.log","11422","8","2","2","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","274","273","2026-06-07T16:03:28.672+00:00","2225","react_ccrs_mazeV1_01_20260607_174940.log","11505","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","275","274","2026-06-07T16:03:31.037+00:00","2365","react_ccrs_mazeV1_01_20260607_174940.log","11520","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","276","275","2026-06-07T16:03:32.969+00:00","1932","react_ccrs_mazeV1_01_20260607_174940.log","11535","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","277","276","2026-06-07T16:03:35.412+00:00","2443","react_ccrs_mazeV1_01_20260607_174940.log","11550","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","278","277","2026-06-07T16:03:37.637+00:00","2225","react_ccrs_mazeV1_01_20260607_174940.log","11565","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","279","278","2026-06-07T16:03:39.699+00:00","2062","react_ccrs_mazeV1_01_20260607_174940.log","11580","8","2","2","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","280","279","2026-06-07T16:03:43.061+00:00","3362","react_ccrs_mazeV1_01_20260607_174940.log","11663","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","281","280","2026-06-07T16:03:45.389+00:00","2328","react_ccrs_mazeV1_01_20260607_174940.log","11672","9","3","3","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","282","281","2026-06-07T16:03:49.200+00:00","3811","react_ccrs_mazeV1_01_20260607_174940.log","11774","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","283","282","2026-06-07T16:03:51.315+00:00","2115","react_ccrs_mazeV1_01_20260607_174940.log","11783","8","2","2","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","284","283","2026-06-07T16:03:53.815+00:00","2500","react_ccrs_mazeV1_01_20260607_174940.log","11866","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","285","284","2026-06-07T16:03:55.811+00:00","1996","react_ccrs_mazeV1_01_20260607_174940.log","11881","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","286","285","2026-06-07T16:04:00.383+00:00","4572","react_ccrs_mazeV1_01_20260607_174940.log","11896","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","287","286","2026-06-07T16:04:02.590+00:00","2207","react_ccrs_mazeV1_01_20260607_174940.log","11911","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","288","287","2026-06-07T16:04:08.100+00:00","5510","react_ccrs_mazeV1_01_20260607_174940.log","11926","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","289","288","2026-06-07T16:04:15.342+00:00","7242","react_ccrs_mazeV1_01_20260607_174940.log","11941","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","290","289","2026-06-07T16:04:18.165+00:00","2823","react_ccrs_mazeV1_01_20260607_174940.log","12079","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","291","290","2026-06-07T16:04:22.177+00:00","4012","react_ccrs_mazeV1_01_20260607_174940.log","12094","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","292","291","2026-06-07T16:04:24.406+00:00","2229","react_ccrs_mazeV1_01_20260607_174940.log","12103","9","3","3","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","293","292","2026-06-07T16:04:26.920+00:00","2514","react_ccrs_mazeV1_01_20260607_174940.log","12205","5","0","0","1","2","0"
