"batch_id","run_id","move_sequence","move_cell","move_timestamp","duration_ms","action_count","http_success_count","http_failure_count","get_count","post_count","status_codes"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","94","http://127.0.1.1:8080/cells/15/7","1782392118755","38192","8","8","0","7","1","201;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","95","http://127.0.1.1:8080/cells/15/8","1782392144158","25403","17","16","1","16","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","96","http://127.0.1.1:8080/cells/16/8","1782392191073","46915","24","24","0","23","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","97","http://127.0.1.1:8080/cells/17/8","1782392267741","76668","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","98","http://127.0.1.1:8080/cells/17/7","1782392273365","5624","30","26","4","29","1","201;200;200;200;200;200;200;200;200;200;200;403;200;200;200;200;200;403;200;200;200;200;200;403;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","99","http://127.0.1.1:8080/cells/17/8","1782392370878","97513","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","100","http://127.0.1.1:8080/cells/18/8","1782392377580","6702","13","12","1","12","1","201;200;200;200;200;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","101","http://127.0.1.1:8080/cells/18/9","1782392420059","42479","7","6","1","6","1","201;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","102","http://127.0.1.1:8080/cells/19/9","1782392445058","24999","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","103","http://127.0.1.1:8080/cells/20/9","1782392455184","10126","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","104","http://127.0.1.1:8080/cells/21/9","1782392463506","8322","23","17","6","22","1","201;200;200;200;200;200;200;200;403;200;200;403;403;403;200;200;200;200;200;403;200;403;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","105","http://127.0.1.1:8080/cells/22/9","1782392534075","70569","12","11","1","11","1","201;200;200;200;200;200;200;200;200;200;403;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","106","http://127.0.1.1:8080/cells/23/9","1782392590520","56445","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","107","http://127.0.1.1:8080/cells/23/10","1782392601027","10507","12","10","2","11","1","201;200;403;403;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","108","http://127.0.1.1:8080/cells/24/10","1782392635079","34052","19","19","0","18","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","109","http://127.0.1.1:8080/cells/25/10","1782392693581","58502","13","13","0","12","1","201;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","110","http://127.0.1.1:8080/cells/26/10","1782392732845","39264","25","25","0","24","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","111","http://127.0.1.1:8080/cells/26/11","1782392815954","83109","6","6","0","5","1","201;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","112","http://127.0.1.1:8080/cells/27/11","1782392835744","19790","12","11","1","11","1","201;200;200;200;200;200;403;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","113","http://127.0.1.1:8080/cells/28/11","1782392874161","38417","26","24","2","25","1","201;200;200;200;200;200;200;200;200;403;200;200;200;200;200;200;200;200;200;200;403;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","114","http://127.0.1.1:8080/cells/28/10","1782392966016","91855","8","7","1","7","1","201;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","115","http://127.0.1.1:8080/cells/28/9","1782392991862","25846","29","25","4","28","1","201;200;200;200;200;200;200;403;200;403;200;200;403;403;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","116","http://127.0.1.1:8080/cells/28/10","1782393084087","92225","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","117","http://127.0.1.1:8080/cells/28/11","1782393094104","10017","29","28","1","28","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","118","http://127.0.1.1:8080/cells/27/11","1782393199265","105161","7","5","2","4","3","201;200;409;403;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","119","http://127.0.1.1:8080/cells/26/11","1782393229062","29797","27","26","1","26","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","120","http://127.0.1.1:8080/cells/27/11","1782393328262","99200","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","121","http://127.0.1.1:8080/cells/28/11","1782393341115","12853","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","122","http://127.0.1.1:8080/cells/28/12","1782393350066","8951","30","28","2","29","1","201;200;200;403;200;200;200;200;200;200;200;200;200;403;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","123","http://127.0.1.1:8080/cells/28/13","1782393467923","117857","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","124","http://127.0.1.1:8080/cells/28/14","1782393476713","8790","9","9","0","8","1","201;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","125","http://127.0.1.1:8080/cells/28/15","1782393572725","96012","13","12","1","12","1","201;200;200;200;200;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","126","http://127.0.1.1:8080/cells/29/15","1782393623736","51011","8","7","1","7","1","201;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","127","http://127.0.1.1:8080/cells/29/16","1782393655137","31401","17","17","0","16","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
