"batch_id","run_id","move_sequence","move_cell","move_timestamp","move_line","start_action_line","start_action_timestamp","end_before_action_line","action_count","get_count","post_count","http_error_count","status_codes","action_lines","action_targets","match_quality"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","24","http://127.0.1.1:8080/cells/10/2","1782390279744","247","4356","2026-06-25 14:24:39,643","4453","6","5","1","1","201;200;200;200;403;200","4356;4368;4385;4402;4419;4436","http://127.0.1.1:8080/cells/10/2;http://127.0.1.1:8080/cells/10/2;http://127.0.1.1:8080/cells/10/2;http://127.0.1.1:8080/cells/10/2;http://127.0.1.1:8080/cells/9/2;http://127.0.1.1:8080/cells/10/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","25","http://127.0.1.1:8080/cells/9/2","1782390296084","249","4453","2026-06-25 14:24:55,964","4482","2","1","1","0","201;200","4453;4465","http://127.0.1.1:8080/cells/9/2;http://127.0.1.1:8080/cells/9/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","26","http://127.0.1.1:8080/cells/8/2","1782390301775","251","4482","2026-06-25 14:25:01,668","4902","25","24","1","2","201;200;200;200;200;200;200;200;200;200;200;403;200;200;200;200;200;200;200;200;200;200;200;200;403","4482;4494;4511;4528;4545;4562;4579;4596;4613;4630;4647;4664;4681;4698;4715;4732;4749;4766;4783;4800;4817;4834;4851;4868;4885","http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/7/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/8/2;http://127.0.1.1:8080/cells/7/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","27","http://127.0.1.1:8080/cells/7/2","1782390361765","253","4902","2026-06-25 14:26:01,667","4980","2","1","1","0","201;200","4902;4914","http://127.0.1.1:8080/cells/7/2;http://127.0.1.1:8080/cells/7/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","28","http://127.0.1.1:8080/cells/7/3","1782390372703","255","4980","2026-06-25 14:26:12,596","5058","2","1","1","0","201;200","4980;4992","http://127.0.1.1:8080/cells/7/3;http://127.0.1.1:8080/cells/7/3","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","29","http://127.0.1.1:8080/cells/7/4","1782390378290","257","5058","2026-06-25 14:26:18,187","5532","8","7","1","0","201;200;200;200;200;200;200;200","5058;5070;5136;5202;5268;5334;5400;5466","http://127.0.1.1:8080/cells/7/4;http://127.0.1.1:8080/cells/7/4;http://127.0.1.1:8080/cells/7/4;http://127.0.1.1:8080/cells/7/4;http://127.0.1.1:8080/cells/7/4;http://127.0.1.1:8080/cells/7/4;http://127.0.1.1:8080/cells/7/4;http://127.0.1.1:8080/cells/7/4","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","30","http://127.0.1.1:8080/cells/8/4","1782390402900","259","5532","2026-06-25 14:26:42,794","5627","3","2","1","1","201;200;403","5532;5544;5610","http://127.0.1.1:8080/cells/8/4;http://127.0.1.1:8080/cells/8/4;http://127.0.1.1:8080/cells/8/5","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","31","http://127.0.1.1:8080/cells/8/5","1782390411006","261","5627","2026-06-25 14:26:50,876","5705","2","1","1","0","201;200","5627;5639","http://127.0.1.1:8080/cells/8/5;http://127.0.1.1:8080/cells/8/5","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","32","http://127.0.1.1:8080/cells/8/6","1782390416679","263","5705","2026-06-25 14:26:56,578","5866","4","3","1","1","201;200;200;403","5705;5717;5783;5849","http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/9/6","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","33","http://127.0.1.1:8080/cells/9/6","1782390428590","265","5866","2026-06-25 14:27:08,474","5944","2","1","1","0","201;200","5866;5878","http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6","target_timestamp_order"
