"batch_id","run_id","move_sequence","move_cell","move_timestamp","move_line","start_action_line","start_action_timestamp","end_before_action_line","action_count","get_count","post_count","http_error_count","status_codes","action_lines","action_targets","match_quality"
"react-baseline-vs-ccrs-v2","700-baseline","71","http://127.0.1.1:8080/cells/5/4","1782569258199","4900","1594","2026-06-27 16:07:38,105","1666","12","11","1","0","201;200;200;200;200;200;200;200;200;200;200;200","1594;1600;1606;1612;1618;1624;1630;1636;1642;1648;1654;1660","http://127.0.1.1:8080/cells/5/4;http://127.0.1.1:8080/cells/5/4;http://127.0.1.1:8080/cells/5/4;http://127.0.1.1:8080/cells/5/4;http://127.0.1.1:8080/cells/5/4;http://127.0.1.1:8080/cells/5/4;http://127.0.1.1:8080/cells/5/4;http://127.0.1.1:8080/cells/5/4;http://127.0.1.1:8080/cells/5/4;http://127.0.1.1:8080/cells/5/4;http://127.0.1.1:8080/cells/5/4;http://127.0.1.1:8080/cells/5/4","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","72","http://127.0.1.1:8080/cells/5/3","1782569284877","4902","1666","2026-06-27 16:08:04,800","1774","18","17","1","0","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200","1666;1672;1678;1684;1690;1696;1702;1708;1714;1720;1726;1732;1738;1744;1750;1756;1762;1768","http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3;http://127.0.1.1:8080/cells/5/3","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","73","http://127.0.1.1:8080/cells/5/2","1782569323925","4904","1774","2026-06-27 16:08:43,845","1786","2","1","1","0","201;200","1774;1780","http://127.0.1.1:8080/cells/5/2;http://127.0.1.1:8080/cells/5/2","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","74","http://127.0.1.1:8080/cells/6/2","1782569329872","4906","1786","2026-06-27 16:08:49,780","1798","2","1","1","0","201;200","1786;1792","http://127.0.1.1:8080/cells/6/2;http://127.0.1.1:8080/cells/6/2","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","75","http://127.0.1.1:8080/cells/7/2","1782569334745","4908","1798","2026-06-27 16:08:54,664","1810","2","1","1","0","201;200","1798;1804","http://127.0.1.1:8080/cells/7/2;http://127.0.1.1:8080/cells/7/2","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","76","http://127.0.1.1:8080/cells/7/3","1782569340033","4910","1810","2026-06-27 16:08:59,949","1822","2","1","1","0","201;200","1810;1816","http://127.0.1.1:8080/cells/7/3;http://127.0.1.1:8080/cells/7/3","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","77","http://127.0.1.1:8080/cells/7/4","1782569344753","4912","1822","2026-06-27 16:09:04,679","1834","2","1","1","0","201;200","1822;1828","http://127.0.1.1:8080/cells/7/4;http://127.0.1.1:8080/cells/7/4","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","78","http://127.0.1.1:8080/cells/8/4","1782569349566","4914","1834","2026-06-27 16:09:09,480","1846","2","1","1","0","201;200","1834;1840","http://127.0.1.1:8080/cells/8/4;http://127.0.1.1:8080/cells/8/4","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","79","http://127.0.1.1:8080/cells/8/5","1782569356321","4916","1846","2026-06-27 16:09:16,246","1858","2","1","1","0","201;200","1846;1852","http://127.0.1.1:8080/cells/8/5;http://127.0.1.1:8080/cells/8/5","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","80","http://127.0.1.1:8080/cells/8/6","1782569361832","4918","1858","2026-06-27 16:09:21,759","1870","2","1","1","0","201;200","1858;1864","http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6","target_timestamp_order"
